A114,17.4,2.91,136,809,38.250,18.660064,0.861221,0.000
A115,25,2.339,84,886,44.067,38.691308,0.871011,0.000
A116,19.7,2.925,83,746,44.867,25.516341,0.865581,0.000
A117,22.5,3.479,118,836,44.450,31.072729,0.884978,0.000
A118,22.5,3.223,112,1132,51.100,53.399603,0.882828,0.000
A119,20.8,3.143,84,813,45.717,34.16322,0.870473,0.000
A120,16.6,3.386,139,774,41.733,19.871899,0.905761,0.000
A121,17,3.253,132,885,57.967,24.508285,0.905031,0.000
A122,16.8,3.452,58,955,48.817,21.533449,0.861441,0.000
A123,21.3,3.52,156,1007,47.667,39.975903,0.903715,0.000
A124,11,2.434,74,506,41.983,9.902382,0.869192,1.215
A125,15,2.586,107,714,47.150,13.210218,0.882716,1.620
A126,16.2,3.143,183,677,35.167,13.340117,0.882692,0.000
A127,17.1,3.242,92,842,36.700,27.198254,0.886908,0.000
A128,14.6,3.47,135,682,44.683,16.683199,0.905487,0.000
A129,21,3.324,98,848,36.167,33.540689,0.886973,0.000
A130,16.2,3.222,124,813,46.200,30.812144,0.896396,0.000
A131,20,4.271,106,792,44.567,27.666615,0.88486,0.000
A132,19.8,3.978,98,682,41.817,21.019381,0.892377,0.000
A133,18.1,3.29,92,586,41.583,12.563988,0.921851,0.000
A134,17.4,3.523,102,768,38.167,27.147326,0.913812,0.000
A135,15.2,3.146,83,596,40.183,12.182818,0.901552,0.000
A136,16.1,3.751,47,706,46.433,18.294357,0.90044,0.000
A137,19.1,4.122,177,858,51.283,22.018635,0.893559,0.000
A138,17.1,3.401,96,824,35.150,27.467387,0.873479,0.000
A139,14.7,2.859,109,553,39.383,9.359916,0.897975,0.000
A140,22.2,3.341,55,797,41.467,21.657878,0.890907,0.000
