A34,15.1,1.949,135,640,66.633,19.614058,0.723354,0.000
A35,17.1,1.526,87,682,50.300,17.476634,0.647722,0.000
A36,17.7,2.18,120,730,63.367,24.610971,0.674559,0.000
A37,17.1,1.906,27,585,64.700,21.029023,0.654599,0.000
A38,14.4,2.235,119,482,66.467,13.679306,0.664492,0.000
A39,18.9,2.483,46,570,66.117,16.085737,0.686203,0.000
A40,14.9,2.239,74,578,72.167,14.903125,0.697306,0.000
A41,11,2.575,151,509,47.533,10.476686,0.716270,0.000
A42,17.7,2.519,115,636,58.217,17.622296,0.717591,0.000
A43,20.1,2.52,75,720,48.333,23.688430,0.775617,0.000
A44,14.4,2.557,121,52,65.617,9.748206,0.776312,0.000
A45,16.5,2.204,55,681,48.117,15.456919,0.766366,0.000
A46,18.3,2.366,107,788,48.300,17.870861,0.768221,0.000
A47,14.8,2.301,96,578,65.683,10.823968,0.780841,1.825
A48,15,2.183,97,500,69.900,11.376227,0.745646,0.000
A49,16.4,2.243,107,779,59.633,16.955612,0.746368,0.000
A50,13.8,2.144,103,516,74.850,12.363395,0.797453,0.000
A51,15.4,1.953,74,765,66.183,18.455338,0.769719,0.000
A52,17.7,2.648,66,732,66.117,17.116042,0.752505,0.000
A53,20.7,2.205,59,712,76.233,25.038118,0.780003,0.000
A54,16.6,2.387,124,712,62.133,23.545131,0.763445,0.000
A55,17.7,2.749,138,714,64.767,25.774076,0.789007,0.000
A56,14.8,2.183,65,715,59.800,12.734172,0.780965,0.000
A57,12.4,1.961,165,553,54.933,10.775081,0.766164,0.000
A58,14.5,2.121,150,720,56.067,15.396907,0.815126,0.000
A59,11.9,1.882,133,669,48.417,9.358330,0.764908,0.000
A60,17.4,2.885,106,640,49.700,20.003589,0.788904,0.000
A61,18.5,2.662,88,710,50.733,22.321345,0.793527,0.000
A62,17.7,2.5,67,803,50.083,27.122936,0.705122,0.000
A63,11.6,2.126,95,497,54.650,8.753774,0.711582,0.000
A64,18.1,3.24,128,629,63.733,22.154857,0.734640,2.205
A65,18.5,2.523,105,853,48.950,28.814404,0.834343,0.000
A66,16.8,2.373,117,805,50.650,26.765177,0.812081,0.000
A67,21.2,2.782,74,785,50.533,22.644042,0.820658,0.000
A68,17,2.43,77,720,49.783,20.103012,0.771409,0.000
A69,13.7,2.157,155,600,48.333,16.188161,0.764130,0.000
A70,15.4,2.387,154,756,49.883,17.588823,0.765253,0.000
A71,17.1,2.543,97,636,48.517,14.770539,0.732103,1.675
A72,13.1,1.866,76,684,54.917,11.922498,0.760575,0.000
A73,9.8,2.301,140,438,62.867,4.101252,0.793230,0.000
A74,11,2.059,137,368,67.867,5.384229,0.766272,0.000
A75,16,2.261,92,735,50.133,18.082068,0.768755,0.000
A76,14.1,2.272,157,658,49.383,16.385652,0.728004,0.000
A77,12.5,1.233,107,625,48.217,11.505873,0.780686,0.000
A78,16.8,2.127,93,818,50.000,26.429041,0.863203,0.000
A79,19.6,2.593,97,814,49.817,29.561813,0.808912,0.000
A80,18.5,2.018,74,836,50.817,32.697117,0.798023,0.000
A81,18.2,2.607,190,780,49.133,29.072901,0.755457,0.000
A82,18.6,3.623,130,877,58.067,37.254357,0.781349,0.000
A83,22.3,2.997,54,980,51.033,37.795635,0.763173,0.000
A84,19.4,3.109,128,862,58.700,39.233940,0.813098,0.000
A85,19,2.394,24,667,51.633,15.017537,0.790852,0.000
A86,26.6,2.614,54,990,56.383,35.062257,0.745499,0.000
A87,17.1,2.533,112,792,49.617,30.528102,0.681840,0.000
A88,22.5,2.177,79,878,54.333,36.061223,0.608385,0.000
A89,21.4,2.415,72,812,53.950,31.565895,0.739669,0.000
A90,16.3,3.548,102,620,49.900,18.763104,0.613075,0.505
A91,22.3,3.153,125,1005,53.033,40.207042,0.711220,0.000
A92,18,2.21,125,872,53.167,30.418398,0.694604,0.000
A93,17,2.302,102,747,50.167,27.617918,0.663924,1.545
A94,19.9,2.11,138,772,52.217,23.354121,0.700007,0.000
A95,19.3,2.634,124,725,46.083,17.937688,0.704735,0.000
A96,21.2,2.472,126,584,51.950,19.096662,0.673985,0.000
A97,24.2,2.846,69,882,50.200,26.792210,0.726534,0.000
A98,21.5,2.122,86,1022,50.150,21.007679,0.630771,0.000
A99,16.8,2.4,124,753,53.533,15.634317,0.687041,0.000
A100,17,2.504,133,854,49.317,23.961801,0.604010,0.000
A101,17.2,2.598,96,723,50.717,21.899080,0.739706,0.000
A102,21.3,2.892,109,995,46.750,49.545688,0.741978,0.000
A103,17,2.479,128,814,49.200,29.631094,0.655456,0.000
A104,24.5,2.169,89,907,57.033,24.632959,0.676350,0.000
A105,17,2.783,144,778,51.317,20.656596,0.686690,0.000
A106,20.5,2.265,112,748,48.333,25.760980,0.733940,0.000
A107,17.7,2.292,107,636,56.550,18.511672,0.707455,0.000
A108,22.3,2.24,118,534,49.850,34.046950,0.714626,0.000
A109,23.4,3.725,86,937,52.583,40.916818,0.684875,0.000
A110,13.3,3.638,177,932,53.350,34.033916,0.725121,0.000
A111,18.2,3.38,142,876,50.900,23.978137,0.696053,0.000
A112,17.9,3.626,145,828,50.433,28.020108,0.697906,0.000
A113,19.7,3.415,153,922,45.250,29.812084,0.766620,8.860
A114,17.4,2.91,136,809,57.083,20.335946,0.748612,0.000
A115,25,2.339,84,886,53.133,40.506036,0.701196,0.000
A116,19.7,2.925,83,746,54.367,28.065852,0.676410,0.000
A117,22.5,3.479,118,836,56.183,35.379649,0.676562,0.000
A118,22.5,3.223,112,1132,47.917,49.299336,0.690910,0.000
A119,20.8,3.143,84,813,53.050,33.814343,0.660435,0.000
A120,16.6,3.386,139,774,57.217,19.631339,0.690938,0.000
A121,17,3.253,132,885,53.600,23.243363,0.640112,0.000
A122,16.8,3.452,58,955,47.017,26.081709,0.707379,0.000
A123,21.3,3.52,156,1007,50.417,39.135676,0.674247,0.000
A124,11,2.434,74,506,50.633,9.913528,0.688681,1.215
